;Post code;Sub-municipality name (Dutch)
1208;1040.0;Etterbeek
1209;2380.0;Ravels
1210;2020.0;Antwerpen
1211;2018.0;Antwerpen
1212;5360.0;
1213;5646.0;
1214;5503.0;
1215;5563.0;
1216;5002.0;
1217;3832.0;Ulbeek
1218;8600.0;Beerst
1219;8920.0;Langemark
1220;6720.0;
1221;6823.0;
1222;6927.0;
1223;1500.0;Halle
1224;3454.0;Rummen
1225;1850.0;Grimbergen
1226;1970.0;Wezembeek-Oppem
1227;9075.0;Wondelgem
1228;9870.0;Olsene
1229;9040.0;Sint-Amandsberg
1230;9961.0;Boekhoute
1231;9060.0;Zelzate
1232;9990.0;Maldegem
